IncSubs,SVM_exp_mean,SVM_p,consistency_exp_mean,consistency_p,directional_exp_mean,directional_p,rng
[140;252;44;21;97;43;19;79;151;67;13;148;184;193;60],0.503333333333333,0.6347,0.4612,0.5203,0.18,0.1095,16
[14;137;190;56;78;181;239;75;122;148;34;8;118;174;240],0.496666666666666,0.5714,0.497866666666667,0.2807,0.28,0.0033,3
[140;166;146;128;191;63;149;115;234;204;4;233;108;142;259],0.513333333333333,0.3299,0.447066666666667,0.5189,0.24,0.0134,8
[198;205;246;139;118;22;131;51;164;43;60;80;56;235;233],0.533333333333333,0.2175,0.482133333333333,0.2818,0.393333333333333,0.0003,5
[10;52;192;102;139;239;210;240;185;218;73;207;228;158;176],0.543333333333333,0.2116,0.523466666666667,0.2296,0.44,0.0002,20
[6;239;195;194;30;49;45;131;130;252;229;4;228;113;124],0.536666666666667,0.2029,0.612533333333333,0.0058,0.446666666666667,0.0002,11
[229;64;182;193;122;10;163;16;80;208;258;260;221;172;100],0.53,0.1636,0.55,0.0559,0.446666666666667,0,13
[72;50;89;142;113;229;147;138;166;81;210;7;55;117;36],0.54,0.1631,0.505866666666667,0.1961,0.253333333333333,0.0084,2
[48;30;192;227;15;57;246;71;216;82;97;232;74;142;67],0.536666666666667,0.1517,0.434933333333333,0.3764,0.44,0,15
[197;49;235;6;170;227;69;228;8;135;174;264;178;30;201],0.543333333333333,0.1413,0.54,0.0876,0.42,0.0003,18
[117;173;239;220;89;167;159;139;155;142;29;112;90;197;12],0.54,0.1174,0.496933333333333,0.0542,0.18,0.0607,6
[231;176;211;52;253;79;142;171;19;14;96;17;11;235;154],0.566666666666667,0.0846,0.513066666666667,0.2312,0.393333333333333,0.0033,17
[256;83;216;144;85;233;2;92;207;138;180;3;57;60;249],0.556666666666667,0.0766,0.546266666666667,0.0563,0.406666666666667,0,14
[44;58;231;260;209;53;263;117;2;259;261;187;191;147;68],0.57,0.0387,0.522266666666667,0.1617,0.166666666666667,0.1,4
[134;24;137;200;183;206;61;255;2;204;217;170;53;6;46],0.56,0.0233,0.642,0.0043,0.2,0.0145,10
[187;45;93;235;36;3;23;59;38;133;67;11;112;254;135],0.583333333333333,0.0141,0.598666666666667,0.0148,0.493333333333333,0,9
[76;162;143;42;253;198;241;9;1;4;228;256;71;37;246],0.586666666666666,0.0132,0.5364,0.1322,0.466666666666667,0.0001,12
[27;180;216;63;37;23;31;146;147;170;58;263;204;89;66],0.566666666666666,0.0055,0.604666666666667,0.0047,0.353333333333333,0.0002,19
[180;144;235;25;183;40;81;1;8;93;50;106;193;112;55],0.606666666666667,0.0032,0.567466666666667,0.0388,0.413333333333333,0.0004,1
[72;182;262;18;118;20;243;194;134;77;215;209;144;21;102],0.583333333333333,0.0029,0.592666666666667,0.0017,0.3,0.0069,7
