,subNum,cong,rt,Exp
1,1,typisch,499,Estes_colleagues_RT
2,1,typisch,526,Estes_colleagues_RT
3,1,typisch,575,Estes_colleagues_RT
4,1,typisch,638,Estes_colleagues_RT
6,1,typisch,685,Estes_colleagues_RT
7,1,typisch,671,Estes_colleagues_RT
8,1,typisch,607,Estes_colleagues_RT
9,1,typisch,571,Estes_colleagues_RT
10,1,typisch,732,Estes_colleagues_RT
11,1,typisch,525,Estes_colleagues_RT
12,1,typisch,707,Estes_colleagues_RT
13,1,typisch,519,Estes_colleagues_RT
14,1,typisch,730,Estes_colleagues_RT
15,1,untypisch,672,Estes_colleagues_RT
16,1,untypisch,462,Estes_colleagues_RT
17,1,untypisch,411,Estes_colleagues_RT
18,1,untypisch,591,Estes_colleagues_RT
19,1,untypisch,804,Estes_colleagues_RT
20,1,untypisch,936,Estes_colleagues_RT
21,1,untypisch,646,Estes_colleagues_RT
22,1,untypisch,526,Estes_colleagues_RT
23,1,untypisch,745,Estes_colleagues_RT
24,1,untypisch,464,Estes_colleagues_RT
25,1,untypisch,665,Estes_colleagues_RT
26,1,untypisch,441,Estes_colleagues_RT
27,1,untypisch,496,Estes_colleagues_RT
28,1,untypisch,462,Estes_colleagues_RT
29,1,untypisch,397,Estes_colleagues_RT
30,1,untypisch,574,Estes_colleagues_RT
31,1,untypisch,488,Estes_colleagues_RT
32,1,untypisch,566,Estes_colleagues_RT
33,1,untypisch,690,Estes_colleagues_RT
34,1,untypisch,575,Estes_colleagues_RT
35,1,untypisch,603,Estes_colleagues_RT
36,1,untypisch,400,Estes_colleagues_RT
38,1,untypisch,650,Estes_colleagues_RT
39,1,untypisch,520,Estes_colleagues_RT
41,1,untypisch,520,Estes_colleagues_RT
42,1,untypisch,912,Estes_colleagues_RT
43,1,untypisch,492,Estes_colleagues_RT
44,1,untypisch,489,Estes_colleagues_RT
45,1,typisch,659,Estes_colleagues_RT
46,1,typisch,594,Estes_colleagues_RT
47,1,typisch,400,Estes_colleagues_RT
48,1,typisch,469,Estes_colleagues_RT
49,1,typisch,409,Estes_colleagues_RT
50,1,typisch,703,Estes_colleagues_RT
51,1,typisch,473,Estes_colleagues_RT
52,1,typisch,563,Estes_colleagues_RT
53,1,typisch,513,Estes_colleagues_RT
54,1,typisch,586,Estes_colleagues_RT
55,1,typisch,429,Estes_colleagues_RT
56,1,typisch,769,Estes_colleagues_RT
57,1,typisch,428,Estes_colleagues_RT
58,1,typisch,735,Estes_colleagues_RT
59,1,typisch,649,Estes_colleagues_RT
60,1,typisch,467,Estes_colleagues_RT
61,2,typisch,449,Estes_colleagues_RT
62,2,typisch,651,Estes_colleagues_RT
63,2,typisch,696,Estes_colleagues_RT
64,2,typisch,469,Estes_colleagues_RT
65,2,typisch,818,Estes_colleagues_RT
66,2,typisch,619,Estes_colleagues_RT
67,2,typisch,531,Estes_colleagues_RT
68,2,typisch,516,Estes_colleagues_RT
69,2,typisch,650,Estes_colleagues_RT
70,2,typisch,447,Estes_colleagues_RT
71,2,typisch,567,Estes_colleagues_RT
72,2,typisch,487,Estes_colleagues_RT
73,2,typisch,686,Estes_colleagues_RT
74,2,typisch,594,Estes_colleagues_RT
75,2,untypisch,386,Estes_colleagues_RT
76,2,untypisch,471,Estes_colleagues_RT
