,subNum,cong,rt,Exp
1,1,0,1,Forti_Humphreys_0
2,1,1,0,Forti_Humphreys_1
3,1,1,1,Forti_Humphreys_0
4,1,1,1,Forti_Humphreys_0
5,1,0,0,Forti_Humphreys_0
6,1,1,1,Forti_Humphreys_1
7,1,0,1,Forti_Humphreys_1
8,1,0,1,Forti_Humphreys_0
9,1,0,0,Forti_Humphreys_1
10,1,0,0,Forti_Humphreys_0
11,1,0,0,Forti_Humphreys_1
12,1,1,0,Forti_Humphreys_0
13,1,0,0,Forti_Humphreys_1
14,1,1,0,Forti_Humphreys_1
15,1,0,0,Forti_Humphreys_1
16,1,1,1,Forti_Humphreys_1
17,1,1,0,Forti_Humphreys_0
18,1,0,0,Forti_Humphreys_1
19,1,1,0,Forti_Humphreys_1
20,1,0,0,Forti_Humphreys_0
21,1,0,0,Forti_Humphreys_0
22,1,1,0,Forti_Humphreys_1
23,1,1,0,Forti_Humphreys_1
24,1,1,0,Forti_Humphreys_0
25,1,1,0,Forti_Humphreys_0
26,1,1,0,Forti_Humphreys_0
27,1,0,1,Forti_Humphreys_0
28,1,1,0,Forti_Humphreys_1
29,1,1,0,Forti_Humphreys_1
30,1,0,1,Forti_Humphreys_1
31,1,0,0,Forti_Humphreys_1
32,1,1,0,Forti_Humphreys_1
33,1,0,0,Forti_Humphreys_0
34,1,0,0,Forti_Humphreys_0
35,1,0,1,Forti_Humphreys_1
36,1,0,0,Forti_Humphreys_0
37,1,1,0,Forti_Humphreys_0
38,1,0,0,Forti_Humphreys_1
39,1,1,0,Forti_Humphreys_0
40,1,1,0,Forti_Humphreys_0
41,1,1,1,Forti_Humphreys_1
42,1,0,0,Forti_Humphreys_1
43,1,1,0,Forti_Humphreys_1
44,1,1,0,Forti_Humphreys_0
45,1,1,1,Forti_Humphreys_1
46,1,1,1,Forti_Humphreys_1
47,1,0,0,Forti_Humphreys_0
48,1,1,0,Forti_Humphreys_1
49,1,1,0,Forti_Humphreys_1
50,1,1,0,Forti_Humphreys_1
51,1,1,1,Forti_Humphreys_0
52,1,1,0,Forti_Humphreys_1
53,1,1,0,Forti_Humphreys_0
54,1,0,0,Forti_Humphreys_1
55,1,1,0,Forti_Humphreys_1
56,1,1,0,Forti_Humphreys_0
57,1,1,0,Forti_Humphreys_0
58,1,1,0,Forti_Humphreys_0
59,1,1,0,Forti_Humphreys_0
60,1,1,1,Forti_Humphreys_1
61,1,0,0,Forti_Humphreys_0
62,1,1,0,Forti_Humphreys_0
63,1,0,0,Forti_Humphreys_1
64,1,1,1,Forti_Humphreys_0
65,1,0,1,Forti_Humphreys_1
66,1,1,0,Forti_Humphreys_0
67,1,1,0,Forti_Humphreys_0
68,1,0,0,Forti_Humphreys_0
69,1,1,1,Forti_Humphreys_1
70,1,0,1,Forti_Humphreys_1
71,1,0,0,Forti_Humphreys_0
72,1,1,1,Forti_Humphreys_1
73,1,0,0,Forti_Humphreys_1
74,1,0,1,Forti_Humphreys_0
75,1,1,0,Forti_Humphreys_0
76,1,0,0,Forti_Humphreys_0
77,1,0,0,Forti_Humphreys_1
78,1,0,0,Forti_Humphreys_0
79,1,0,0,Forti_Humphreys_1
80,1,0,1,Forti_Humphreys_1
81,1,0,0,Forti_Humphreys_1
82,1,0,0,Forti_Humphreys_1
83,1,1,0,Forti_Humphreys_1
84,1,0,0,Forti_Humphreys_1
85,1,0,0,Forti_Humphreys_1
86,1,1,0,Forti_Humphreys_1
87,1,0,0,Forti_Humphreys_1
88,1,0,0,Forti_Humphreys_1
89,1,1,1,Forti_Humphreys_1
90,1,0,0,Forti_Humphreys_0
91,1,0,0,Forti_Humphreys_0
92,1,0,0,Forti_Humphreys_0
93,1,0,0,Forti_Humphreys_0
94,1,1,0,Forti_Humphreys_1
95,1,0,1,Forti_Humphreys_1
96,1,1,0,Forti_Humphreys_0
97,1,1,1,Forti_Humphreys_0
98,1,0,1,Forti_Humphreys_0
99,1,1,0,Forti_Humphreys_1
100,1,1,1,Forti_Humphreys_0
101,1,1,1,Forti_Humphreys_1
102,1,1,0,Forti_Humphreys_1
103,1,1,0,Forti_Humphreys_1
104,1,0,1,Forti_Humphreys_0
105,1,1,0,Forti_Humphreys_0
106,1,0,1,Forti_Humphreys_1
107,1,1,0,Forti_Humphreys_0
108,1,0,1,Forti_Humphreys_1
109,1,1,0,Forti_Humphreys_0
110,1,1,1,Forti_Humphreys_1
111,1,1,1,Forti_Humphreys_0
112,1,0,0,Forti_Humphreys_1
113,1,0,0,Forti_Humphreys_0
114,1,1,1,Forti_Humphreys_0
115,1,0,1,Forti_Humphreys_0
116,1,1,1,Forti_Humphreys_1
117,1,1,1,Forti_Humphreys_0
118,1,0,0,Forti_Humphreys_1
119,1,1,0,Forti_Humphreys_1
120,1,0,0,Forti_Humphreys_0
121,1,0,0,Forti_Humphreys_1
122,1,1,1,Forti_Humphreys_1
123,1,1,0,Forti_Humphreys_0
124,1,0,1,Forti_Humphreys_0
125,1,1,0,Forti_Humphreys_0
126,1,1,1,Forti_Humphreys_0
127,1,0,0,Forti_Humphreys_1
128,1,0,0,Forti_Humphreys_1
129,1,0,0,Forti_Humphreys_1
130,1,1,0,Forti_Humphreys_0
131,1,1,0,Forti_Humphreys_1
132,1,1,0,Forti_Humphreys_0
133,1,0,1,Forti_Humphreys_0
134,1,0,0,Forti_Humphreys_0
135,1,1,0,Forti_Humphreys_1
136,1,0,0,Forti_Humphreys_0
137,1,0,1,Forti_Humphreys_0
138,1,1,0,Forti_Humphreys_0
139,1,1,1,Forti_Humphreys_0
140,1,0,0,Forti_Humphreys_1
141,1,0,0,Forti_Humphreys_1
142,1,0,0,Forti_Humphreys_1
143,1,1,0,Forti_Humphreys_1
