"","subNum","cong","Inter","rt","Exp"
"1","1",0,0,1,"Forti_Humphreys"
"2","1",1,1,0,"Forti_Humphreys"
"3","1",1,0,1,"Forti_Humphreys"
"4","1",1,0,1,"Forti_Humphreys"
"5","1",0,0,0,"Forti_Humphreys"
"6","1",1,1,1,"Forti_Humphreys"
"7","1",0,1,1,"Forti_Humphreys"
"8","1",0,0,1,"Forti_Humphreys"
"9","1",0,1,0,"Forti_Humphreys"
"10","1",0,0,0,"Forti_Humphreys"
"11","1",0,1,0,"Forti_Humphreys"
"12","1",1,0,0,"Forti_Humphreys"
"13","1",0,1,0,"Forti_Humphreys"
"14","1",1,1,0,"Forti_Humphreys"
"15","1",0,1,0,"Forti_Humphreys"
"16","1",1,1,1,"Forti_Humphreys"
"17","1",1,0,0,"Forti_Humphreys"
"18","1",0,1,0,"Forti_Humphreys"
"19","1",1,1,0,"Forti_Humphreys"
"20","1",0,0,0,"Forti_Humphreys"
"21","1",0,0,0,"Forti_Humphreys"
"22","1",1,1,0,"Forti_Humphreys"
"23","1",1,1,0,"Forti_Humphreys"
"24","1",1,0,0,"Forti_Humphreys"
"25","1",1,0,0,"Forti_Humphreys"
"26","1",1,0,0,"Forti_Humphreys"
"27","1",0,0,1,"Forti_Humphreys"
"28","1",1,1,0,"Forti_Humphreys"
"29","1",1,1,0,"Forti_Humphreys"
"30","1",0,1,1,"Forti_Humphreys"
"31","1",0,1,0,"Forti_Humphreys"
"32","1",1,1,0,"Forti_Humphreys"
"33","1",0,0,0,"Forti_Humphreys"
"34","1",0,0,0,"Forti_Humphreys"
"35","1",0,1,1,"Forti_Humphreys"
"36","1",0,0,0,"Forti_Humphreys"
"37","1",1,0,0,"Forti_Humphreys"
"38","1",0,1,0,"Forti_Humphreys"
"39","1",1,0,0,"Forti_Humphreys"
"40","1",1,0,0,"Forti_Humphreys"
"41","1",1,1,1,"Forti_Humphreys"
"42","1",0,1,0,"Forti_Humphreys"
"43","1",1,1,0,"Forti_Humphreys"
"44","1",1,0,0,"Forti_Humphreys"
"45","1",1,1,1,"Forti_Humphreys"
"46","1",1,1,1,"Forti_Humphreys"
"47","1",0,0,0,"Forti_Humphreys"
"48","1",1,1,0,"Forti_Humphreys"
"49","1",1,1,0,"Forti_Humphreys"
"50","1",1,1,0,"Forti_Humphreys"
"51","1",1,0,1,"Forti_Humphreys"
"52","1",1,1,0,"Forti_Humphreys"
"53","1",1,0,0,"Forti_Humphreys"
"54","1",0,1,0,"Forti_Humphreys"
"55","1",1,1,0,"Forti_Humphreys"
"56","1",1,0,0,"Forti_Humphreys"
"57","1",1,0,0,"Forti_Humphreys"
"58","1",1,0,0,"Forti_Humphreys"
"59","1",1,0,0,"Forti_Humphreys"
"60","1",1,1,1,"Forti_Humphreys"
"61","1",0,0,0,"Forti_Humphreys"
"62","1",1,0,0,"Forti_Humphreys"
"63","1",0,1,0,"Forti_Humphreys"
"64","1",1,0,1,"Forti_Humphreys"
"65","1",0,1,1,"Forti_Humphreys"
"66","1",1,0,0,"Forti_Humphreys"
"67","1",1,0,0,"Forti_Humphreys"
"68","1",0,0,0,"Forti_Humphreys"
"69","1",1,1,1,"Forti_Humphreys"
"70","1",0,1,1,"Forti_Humphreys"
"71","1",0,0,0,"Forti_Humphreys"
"72","1",1,1,1,"Forti_Humphreys"
"73","1",0,1,0,"Forti_Humphreys"
"74","1",0,0,1,"Forti_Humphreys"
"75","1",1,0,0,"Forti_Humphreys"
"76","1",0,0,0,"Forti_Humphreys"
"77","1",0,1,0,"Forti_Humphreys"
"78","1",0,0,0,"Forti_Humphreys"
"79","1",0,1,0,"Forti_Humphreys"
"80","1",0,1,1,"Forti_Humphreys"
"81","1",0,1,0,"Forti_Humphreys"
"82","1",0,1,0,"Forti_Humphreys"
"83","1",1,1,0,"Forti_Humphreys"
"84","1",0,1,0,"Forti_Humphreys"
"85","1",0,1,0,"Forti_Humphreys"
"86","1",1,1,0,"Forti_Humphreys"
"87","1",0,1,0,"Forti_Humphreys"
"88","1",0,1,0,"Forti_Humphreys"
"89","1",1,1,1,"Forti_Humphreys"
"90","1",0,0,0,"Forti_Humphreys"
"91","1",0,0,0,"Forti_Humphreys"
"92","1",0,0,0,"Forti_Humphreys"
"93","1",0,0,0,"Forti_Humphreys"
"94","1",1,1,0,"Forti_Humphreys"
"95","1",0,1,1,"Forti_Humphreys"
"96","1",1,0,0,"Forti_Humphreys"
"97","1",1,0,1,"Forti_Humphreys"
"98","1",0,0,1,"Forti_Humphreys"
"99","1",1,1,0,"Forti_Humphreys"
"100","1",1,0,1,"Forti_Humphreys"
"101","1",1,1,1,"Forti_Humphreys"
"102","1",1,1,0,"Forti_Humphreys"
"103","1",1,1,0,"Forti_Humphreys"
"104","1",0,0,1,"Forti_Humphreys"
"105","1",1,0,0,"Forti_Humphreys"
"106","1",0,1,1,"Forti_Humphreys"
"107","1",1,0,0,"Forti_Humphreys"
"108","1",0,1,1,"Forti_Humphreys"
"109","1",1,0,0,"Forti_Humphreys"
"110","1",1,1,1,"Forti_Humphreys"
"111","1",1,0,1,"Forti_Humphreys"
"112","1",0,1,0,"Forti_Humphreys"
"113","1",0,0,0,"Forti_Humphreys"
"114","1",1,0,1,"Forti_Humphreys"
"115","1",0,0,1,"Forti_Humphreys"
"116","1",1,1,1,"Forti_Humphreys"
"117","1",1,0,1,"Forti_Humphreys"
"118","1",0,1,0,"Forti_Humphreys"
"119","1",1,1,0,"Forti_Humphreys"
"120","1",0,0,0,"Forti_Humphreys"
"121","1",0,1,0,"Forti_Humphreys"
"122","1",1,1,1,"Forti_Humphreys"
"123","1",1,0,0,"Forti_Humphreys"
"124","1",0,0,1,"Forti_Humphreys"
"125","1",1,0,0,"Forti_Humphreys"
"126","1",1,0,1,"Forti_Humphreys"
"127","1",0,1,0,"Forti_Humphreys"
"128","1",0,1,0,"Forti_Humphreys"
"129","1",0,1,0,"Forti_Humphreys"
"130","1",1,0,0,"Forti_Humphreys"
"131","1",1,1,0,"Forti_Humphreys"
"132","1",1,0,0,"Forti_Humphreys"
"133","1",0,0,1,"Forti_Humphreys"
"134","1",0,0,0,"Forti_Humphreys"
"135","1",1,1,0,"Forti_Humphreys"
"136","1",0,0,0,"Forti_Humphreys"
"137","1",0,0,1,"Forti_Humphreys"
"138","1",1,0,0,"Forti_Humphreys"
"139","1",1,0,1,"Forti_Humphreys"
"140","1",0,1,0,"Forti_Humphreys"
"141","1",0,1,0,"Forti_Humphreys"
"142","1",0,1,0,"Forti_Humphreys"
"143","1",1,1,0,"Forti_Humphreys"
"144","1",1,0,0,"Forti_Humphreys"
"145","1",0,0,0,"Forti_Humphreys"
"146","1",0,1,0,"Forti_Humphreys"
"147","1",0,0,0,"Forti_Humphreys"
"148","1",1,1,0,"Forti_Humphreys"
"149","1",1,0,1,"Forti_Humphreys"
"150","1",1,0,0,"Forti_Humphreys"
"151","1",1,0,1,"Forti_Humphreys"
"152","1",1,0,0,"Forti_Humphreys"
"153","1",1,0,0,"Forti_Humphreys"
"154","1",1,1,0,"Forti_Humphreys"
"155","1",0,0,1,"Forti_Humphreys"
"156","1",0,0,0,"Forti_Humphreys"
"157","1",1,1,0,"Forti_Humphreys"
"158","1",1,1,0,"Forti_Humphreys"
"159","1",0,0,0,"Forti_Humphreys"
"160","1",0,0,0,"Forti_Humphreys"
"161","1",0,1,0,"Forti_Humphreys"
"162","1",0,0,0,"Forti_Humphreys"
"163","1",1,1,0,"Forti_Humphreys"
"164","1",0,1,0,"Forti_Humphreys"
"165","1",1,1,0,"Forti_Humphreys"
"166","1",1,1,0,"Forti_Humphreys"
"167","1",1,0,1,"Forti_Humphreys"
"168","1",1,1,1,"Forti_Humphreys"
"169","1",0,1,0,"Forti_Humphreys"
"170","1",1,0,0,"Forti_Humphreys"
"171","1",0,0,1,"Forti_Humphreys"
"172","1",0,1,1,"Forti_Humphreys"
"173","1",1,0,0,"Forti_Humphreys"
"174","1",0,1,0,"Forti_Humphreys"
"175","1",0,0,1,"Forti_Humphreys"
"176","1",0,1,0,"Forti_Humphreys"
"177","1",1,1,1,"Forti_Humphreys"
"178","1",1,1,0,"Forti_Humphreys"
"179","1",0,0,1,"Forti_Humphreys"
"180","1",1,1,0,"Forti_Humphreys"
"181","1",0,1,1,"Forti_Humphreys"
"182","1",0,0,1,"Forti_Humphreys"
"183","1",0,0,0,"Forti_Humphreys"
"184","1",1,1,0,"Forti_Humphreys"
"185","1",1,0,0,"Forti_Humphreys"
"186","1",1,0,0,"Forti_Humphreys"
"187","1",1,1,1,"Forti_Humphreys"
"188","1",0,0,1,"Forti_Humphreys"
"189","1",1,0,1,"Forti_Humphreys"
"190","1",1,0,1,"Forti_Humphreys"
"191","1",0,1,0,"Forti_Humphreys"
"192","1",1,1,0,"Forti_Humphreys"
"193","1",0,1,0,"Forti_Humphreys"
"194","1",0,0,0,"Forti_Humphreys"
"195","1",0,1,0,"Forti_Humphreys"
"196","1",1,0,0,"Forti_Humphreys"
"197","1",0,1,0,"Forti_Humphreys"
"198","1",0,1,0,"Forti_Humphreys"
"199","1",1,1,1,"Forti_Humphreys"
"200","1",0,1,0,"Forti_Humphreys"
"201","1",0,0,0,"Forti_Humphreys"
"202","1",0,0,0,"Forti_Humphreys"
"203","1",0,0,0,"Forti_Humphreys"
"204","1",1,0,0,"Forti_Humphreys"
"205","1",0,1,0,"Forti_Humphreys"
"206","1",0,1,0,"Forti_Humphreys"
"207","1",1,0,1,"Forti_Humphreys"
"208","1",1,1,1,"Forti_Humphreys"
"209","1",1,0,0,"Forti_Humphreys"
"210","1",1,1,0,"Forti_Humphreys"
"211","1",1,0,1,"Forti_Humphreys"
"212","1",0,1,0,"Forti_Humphreys"
"213","1",1,1,0,"Forti_Humphreys"
"214","1",1,1,1,"Forti_Humphreys"
"215","1",1,1,1,"Forti_Humphreys"
"216","1",0,0,0,"Forti_Humphreys"
"217","1",1,0,1,"Forti_Humphreys"
"218","1",0,0,1,"Forti_Humphreys"
"219","1",0,0,0,"Forti_Humphreys"
"220","1",1,1,0,"Forti_Humphreys"
"221","1",1,0,0,"Forti_Humphreys"
"222","1",1,1,0,"Forti_Humphreys"
"223","1",0,0,1,"Forti_Humphreys"
"224","1",1,1,0,"Forti_Humphreys"
"225","1",0,0,1,"Forti_Humphreys"
"226","1",0,1,1,"Forti_Humphreys"
"227","1",1,0,1,"Forti_Humphreys"
"228","1",0,0,1,"Forti_Humphreys"
"229","1",1,1,0,"Forti_Humphreys"
"230","1",1,0,0,"Forti_Humphreys"
"231","1",1,0,1,"Forti_Humphreys"
"232","1",1,0,1,"Forti_Humphreys"
"233","1",1,0,1,"Forti_Humphreys"
"234","1",1,1,0,"Forti_Humphreys"
"235","1",1,0,0,"Forti_Humphreys"
"236","1",0,1,1,"Forti_Humphreys"
"237","1",1,1,0,"Forti_Humphreys"
"238","1",1,0,0,"Forti_Humphreys"
"239","1",1,1,1,"Forti_Humphreys"
"240","1",1,0,1,"Forti_Humphreys"
"241","1",1,1,0,"Forti_Humphreys"
"242","1",1,0,0,"Forti_Humphreys"
"243","1",1,1,0,"Forti_Humphreys"
"244","1",0,0,1,"Forti_Humphreys"
"245","1",0,0,0,"Forti_Humphreys"
"246","1",0,1,1,"Forti_Humphreys"
"247","1",1,1,1,"Forti_Humphreys"
"248","1",1,0,0,"Forti_Humphreys"
"249","1",1,1,0,"Forti_Humphreys"
"250","1",0,1,1,"Forti_Humphreys"
"251","1",1,0,1,"Forti_Humphreys"
"252","1",0,1,0,"Forti_Humphreys"
"253","1",0,0,1,"Forti_Humphreys"
"254","1",1,1,1,"Forti_Humphreys"
"255","1",0,0,0,"Forti_Humphreys"
"256","1",1,0,0,"Forti_Humphreys"
"257","1",0,0,1,"Forti_Humphreys"
"258","1",0,1,0,"Forti_Humphreys"
"259","1",0,0,0,"Forti_Humphreys"
"260","1",0,1,0,"Forti_Humphreys"
"261","1",0,1,1,"Forti_Humphreys"
"262","1",1,1,0,"Forti_Humphreys"
"263","1",0,1,0,"Forti_Humphreys"
"264","1",1,0,0,"Forti_Humphreys"
"265","1",1,0,1,"Forti_Humphreys"
"266","1",0,0,1,"Forti_Humphreys"
"267","1",0,0,0,"Forti_Humphreys"
"268","1",0,1,0,"Forti_Humphreys"
"269","1",0,1,1,"Forti_Humphreys"
"270","1",1,0,1,"Forti_Humphreys"
"271","1",1,0,1,"Forti_Humphreys"
"272","1",0,0,0,"Forti_Humphreys"
"273","1",1,1,0,"Forti_Humphreys"
"274","1",1,0,1,"Forti_Humphreys"
"275","1",0,1,0,"Forti_Humphreys"
"276","1",0,1,0,"Forti_Humphreys"
"277","1",0,1,0,"Forti_Humphreys"
"278","1",1,1,0,"Forti_Humphreys"
"279","1",1,1,0,"Forti_Humphreys"
"280","1",1,1,0,"Forti_Humphreys"
"281","1",0,0,1,"Forti_Humphreys"
"282","1",0,0,1,"Forti_Humphreys"
"283","1",1,1,0,"Forti_Humphreys"
"284","1",1,0,0,"Forti_Humphreys"
"285","1",0,1,1,"Forti_Humphreys"
"286","1",1,1,0,"Forti_Humphreys"
"287","1",0,0,1,"Forti_Humphreys"
"288","1",0,0,1,"Forti_Humphreys"
"289","1",0,1,0,"Forti_Humphreys"
"290","1",1,0,1,"Forti_Humphreys"
"291","1",0,1,0,"Forti_Humphreys"
"292","1",0,1,0,"Forti_Humphreys"
"293","1",1,1,0,"Forti_Humphreys"
"294","1",0,1,0,"Forti_Humphreys"
"295","1",0,1,1,"Forti_Humphreys"
"296","1",1,1,0,"Forti_Humphreys"
"297","1",1,0,1,"Forti_Humphreys"
"298","1",0,1,0,"Forti_Humphreys"
"299","1",1,0,1,"Forti_Humphreys"
"300","1",1,0,0,"Forti_Humphreys"
"301","1",0,0,1,"Forti_Humphreys"
"302","1",1,0,0,"Forti_Humphreys"
"303","1",1,0,1,"Forti_Humphreys"
"304","1",0,0,1,"Forti_Humphreys"
"305","1",0,0,0,"Forti_Humphreys"
"306","1",1,1,0,"Forti_Humphreys"
"307","1",0,0,1,"Forti_Humphreys"
"308","1",1,0,0,"Forti_Humphreys"
"309","1",1,1,1,"Forti_Humphreys"
"310","1",0,0,1,"Forti_Humphreys"
"311","1",1,0,1,"Forti_Humphreys"
"312","1",0,1,0,"Forti_Humphreys"
"313","1",1,1,1,"Forti_Humphreys"
"314","1",1,0,0,"Forti_Humphreys"
"315","1",0,0,0,"Forti_Humphreys"
"316","1",0,0,1,"Forti_Humphreys"
"317","1",1,1,1,"Forti_Humphreys"
"318","1",1,1,0,"Forti_Humphreys"
"319","1",0,1,0,"Forti_Humphreys"
"320","1",1,1,1,"Forti_Humphreys"
"321","1",1,1,0,"Forti_Humphreys"
"322","1",0,1,0,"Forti_Humphreys"
"323","1",0,0,0,"Forti_Humphreys"
"324","1",1,0,1,"Forti_Humphreys"
"325","1",1,0,0,"Forti_Humphreys"
"326","1",1,0,1,"Forti_Humphreys"
"327","1",0,0,0,"Forti_Humphreys"
"328","1",1,0,0,"Forti_Humphreys"
"329","1",0,1,0,"Forti_Humphreys"
"330","1",0,1,0,"Forti_Humphreys"
"331","1",1,0,1,"Forti_Humphreys"
"332","1",0,1,0,"Forti_Humphreys"
"333","1",0,1,0,"Forti_Humphreys"
"334","1",0,0,0,"Forti_Humphreys"
"335","1",0,1,0,"Forti_Humphreys"
