,subNum,cong,rt,Exp
1,2,Related,1167,Janssen_colleagues
2,2,Related,894,Janssen_colleagues
3,2,Related,1362,Janssen_colleagues
4,2,Related,1170,Janssen_colleagues
5,2,Related,971,Janssen_colleagues
6,2,Related,907,Janssen_colleagues
7,2,Related,1455,Janssen_colleagues
8,2,Related,1013,Janssen_colleagues
9,2,Related,999,Janssen_colleagues
10,2,Related,1127,Janssen_colleagues
11,2,Related,900,Janssen_colleagues
12,2,Related,954,Janssen_colleagues
13,2,Related,634,Janssen_colleagues
14,2,Related,959,Janssen_colleagues
15,2,Related,669,Janssen_colleagues
16,2,Related,846,Janssen_colleagues
17,2,Related,873,Janssen_colleagues
18,2,Related,1173,Janssen_colleagues
19,2,Related,942,Janssen_colleagues
20,2,Related,956,Janssen_colleagues
21,3,Related,533,Janssen_colleagues
22,3,Related,883,Janssen_colleagues
23,3,Related,810,Janssen_colleagues
24,3,Related,534,Janssen_colleagues
25,3,Related,800,Janssen_colleagues
26,3,Related,619,Janssen_colleagues
27,3,Related,740,Janssen_colleagues
28,3,Related,791,Janssen_colleagues
29,3,Related,777,Janssen_colleagues
30,3,Related,423,Janssen_colleagues
31,3,Related,895,Janssen_colleagues
32,3,Related,697,Janssen_colleagues
33,3,Related,753,Janssen_colleagues
34,3,Related,500,Janssen_colleagues
35,3,Related,764,Janssen_colleagues
36,3,Related,1283,Janssen_colleagues
37,3,Related,765,Janssen_colleagues
38,3,Related,713,Janssen_colleagues
39,3,Related,833,Janssen_colleagues
40,3,Related,651,Janssen_colleagues
41,4,Related,625,Janssen_colleagues
42,4,Related,2004,Janssen_colleagues
43,4,Related,1078,Janssen_colleagues
44,4,Related,1346,Janssen_colleagues
45,4,Related,860,Janssen_colleagues
46,4,Related,1010,Janssen_colleagues
47,4,Related,679,Janssen_colleagues
48,4,Related,605,Janssen_colleagues
49,4,Related,553,Janssen_colleagues
50,4,Related,478,Janssen_colleagues
51,4,Related,856,Janssen_colleagues
52,4,Related,966,Janssen_colleagues
53,4,Related,499,Janssen_colleagues
54,4,Related,500,Janssen_colleagues
55,4,Related,1064,Janssen_colleagues
56,4,Related,1110,Janssen_colleagues
57,4,Related,501,Janssen_colleagues
58,4,Related,664,Janssen_colleagues
59,4,Related,939,Janssen_colleagues
60,4,Related,957,Janssen_colleagues
61,5,Related,548,Janssen_colleagues
62,5,Related,548,Janssen_colleagues
63,5,Related,543,Janssen_colleagues
64,5,Related,687,Janssen_colleagues
65,5,Related,840,Janssen_colleagues
66,5,Related,590,Janssen_colleagues
67,5,Related,1047,Janssen_colleagues
68,5,Related,633,Janssen_colleagues
69,5,Related,560,Janssen_colleagues
70,5,Related,583,Janssen_colleagues
71,5,Related,763,Janssen_colleagues
72,5,Related,554,Janssen_colleagues
73,5,Related,422,Janssen_colleagues
74,5,Related,629,Janssen_colleagues
75,5,Related,877,Janssen_colleagues
76,5,Related,601,Janssen_colleagues
77,5,Related,487,Janssen_colleagues
78,5,Related,514,Janssen_colleagues
79,5,Related,709,Janssen_colleagues
80,5,Related,836,Janssen_colleagues
81,6,Related,1366,Janssen_colleagues
82,6,Related,1516,Janssen_colleagues
83,6,Related,1615,Janssen_colleagues
84,6,Related,1202,Janssen_colleagues
85,6,Related,1712,Janssen_colleagues
86,6,Related,1331,Janssen_colleagues
87,6,Related,1409,Janssen_colleagues
88,6,Related,1176,Janssen_colleagues
89,6,Related,1071,Janssen_colleagues
90,6,Related,1471,Janssen_colleagues
91,6,Related,908,Janssen_colleagues
92,6,Related,1852,Janssen_colleagues
93,6,Related,1785,Janssen_colleagues
94,6,Related,1957,Janssen_colleagues
95,6,Related,684,Janssen_colleagues
96,6,Related,1560,Janssen_colleagues
97,6,Related,2237,Janssen_colleagues
98,6,Related,1217,Janssen_colleagues
99,6,Related,1478,Janssen_colleagues
100,6,Related,1834,Janssen_colleagues
101,7,Related,748,Janssen_colleagues
102,7,Related,615,Janssen_colleagues
103,7,Related,688,Janssen_colleagues
104,7,Related,687,Janssen_colleagues
105,7,Related,971,Janssen_colleagues
106,7,Related,1083,Janssen_colleagues
107,7,Related,687,Janssen_colleagues
108,7,Related,609,Janssen_colleagues
109,7,Related,519,Janssen_colleagues
110,7,Related,980,Janssen_colleagues
111,7,Related,780,Janssen_colleagues
112,7,Related,881,Janssen_colleagues
113,7,Related,839,Janssen_colleagues
114,7,Related,784,Janssen_colleagues
115,7,Related,582,Janssen_colleagues
116,7,Related,754,Janssen_colleagues
117,7,Related,821,Janssen_colleagues
118,7,Related,1051,Janssen_colleagues
119,7,Related,1038,Janssen_colleagues
120,7,Related,784,Janssen_colleagues
121,8,Related,494,Janssen_colleagues
122,8,Related,751,Janssen_colleagues
123,8,Related,640,Janssen_colleagues
124,8,Related,454,Janssen_colleagues
125,8,Related,693,Janssen_colleagues
126,8,Related,563,Janssen_colleagues
127,8,Related,606,Janssen_colleagues
128,8,Related,665,Janssen_colleagues
129,8,Related,584,Janssen_colleagues
130,8,Related,322,Janssen_colleagues
131,8,Related,467,Janssen_colleagues
132,8,Related,445,Janssen_colleagues
133,8,Related,534,Janssen_colleagues
134,8,Related,930,Janssen_colleagues
135,8,Related,561,Janssen_colleagues
136,8,Related,484,Janssen_colleagues
137,8,Related,542,Janssen_colleagues
138,8,Related,860,Janssen_colleagues
139,8,Related,993,Janssen_colleagues
140,8,Related,606,Janssen_colleagues
141,9,Related,1403,Janssen_colleagues
142,9,Related,1318,Janssen_colleagues
143,9,Related,1359,Janssen_colleagues
144,9,Related,1360,Janssen_colleagues
145,9,Related,1653,Janssen_colleagues
146,9,Related,2125,Janssen_colleagues
147,9,Related,1437,Janssen_colleagues
148,9,Related,1145,Janssen_colleagues
149,9,Related,1197,Janssen_colleagues
150,9,Related,1497,Janssen_colleagues
151,9,Related,1261,Janssen_colleagues
152,9,Related,1341,Janssen_colleagues
153,9,Related,2168,Janssen_colleagues
154,9,Related,1312,Janssen_colleagues
155,9,Related,1196,Janssen_colleagues
156,9,Related,2348,Janssen_colleagues
157,9,Related,1338,Janssen_colleagues
158,9,Related,1866,Janssen_colleagues
