"","subNum","cong","Inter","rt","Exp"
"1","101","2","2",612,"Mirman_Magnuson"
"2","101","2","2",560,"Mirman_Magnuson"
"3","101","2","2",594,"Mirman_Magnuson"
"4","101","2","2",601,"Mirman_Magnuson"
"5","101","2","2",1097,"Mirman_Magnuson"
"6","101","2","2",672,"Mirman_Magnuson"
"7","101","2","2",691,"Mirman_Magnuson"
"8","101","2","2",811,"Mirman_Magnuson"
"9","101","2","2",579,"Mirman_Magnuson"
"10","101","2","2",703,"Mirman_Magnuson"
"11","101","2","2",656,"Mirman_Magnuson"
"12","101","2","2",586,"Mirman_Magnuson"
"13","101","2","2",540,"Mirman_Magnuson"
"14","101","2","2",586,"Mirman_Magnuson"
"15","101","2","2",835,"Mirman_Magnuson"
"16","101","2","2",1352,"Mirman_Magnuson"
"17","101","2","2",761,"Mirman_Magnuson"
"18","101","2","2",552,"Mirman_Magnuson"
"19","101","2","2",675,"Mirman_Magnuson"
"20","101","2","2",706,"Mirman_Magnuson"
"21","101","2","2",591,"Mirman_Magnuson"
"22","101","2","2",592,"Mirman_Magnuson"
"23","101","2","2",711,"Mirman_Magnuson"
"24","101","2","2",641,"Mirman_Magnuson"
"25","101","2","2",915,"Mirman_Magnuson"
"26","101","2","1",696,"Mirman_Magnuson"
"27","101","2","1",854,"Mirman_Magnuson"
"28","101","2","1",759,"Mirman_Magnuson"
"29","101","2","1",661,"Mirman_Magnuson"
"30","101","2","1",2186,"Mirman_Magnuson"
"31","101","2","1",566,"Mirman_Magnuson"
"32","101","2","1",608,"Mirman_Magnuson"
"33","101","2","1",968,"Mirman_Magnuson"
"34","101","2","1",616,"Mirman_Magnuson"
"36","101","2","1",551,"Mirman_Magnuson"
"37","101","2","1",674,"Mirman_Magnuson"
"38","101","2","1",563,"Mirman_Magnuson"
"39","101","2","1",570,"Mirman_Magnuson"
"40","101","2","1",997,"Mirman_Magnuson"
"41","101","2","1",647,"Mirman_Magnuson"
"42","101","2","1",1343,"Mirman_Magnuson"
"43","101","2","1",576,"Mirman_Magnuson"
"44","101","2","1",668,"Mirman_Magnuson"
"45","101","2","1",687,"Mirman_Magnuson"
"46","101","2","1",794,"Mirman_Magnuson"
"47","101","2","1",696,"Mirman_Magnuson"
"48","101","2","1",640,"Mirman_Magnuson"
"49","101","2","1",579,"Mirman_Magnuson"
"50","101","2","1",697,"Mirman_Magnuson"
"51","101","1","1",584,"Mirman_Magnuson"
"52","101","1","1",636,"Mirman_Magnuson"
"53","101","1","1",590,"Mirman_Magnuson"
"54","101","1","1",626,"Mirman_Magnuson"
"55","101","1","1",620,"Mirman_Magnuson"
"56","101","1","1",664,"Mirman_Magnuson"
"57","101","1","1",736,"Mirman_Magnuson"
"58","101","1","1",639,"Mirman_Magnuson"
"59","101","1","1",616,"Mirman_Magnuson"
"60","101","1","1",703,"Mirman_Magnuson"
"61","101","1","1",822,"Mirman_Magnuson"
"62","101","1","1",654,"Mirman_Magnuson"
"63","101","1","1",599,"Mirman_Magnuson"
"64","101","1","1",631,"Mirman_Magnuson"
"65","101","1","1",611,"Mirman_Magnuson"
"66","101","1","1",520,"Mirman_Magnuson"
"67","101","1","1",628,"Mirman_Magnuson"
"68","101","1","1",737,"Mirman_Magnuson"
"69","101","1","1",559,"Mirman_Magnuson"
"70","101","1","1",696,"Mirman_Magnuson"
"71","101","1","1",664,"Mirman_Magnuson"
"72","101","1","1",578,"Mirman_Magnuson"
"73","101","1","1",725,"Mirman_Magnuson"
"74","101","1","1",631,"Mirman_Magnuson"
"75","101","1","1",1007,"Mirman_Magnuson"
"76","101","1","1",665,"Mirman_Magnuson"
"77","101","1","1",699,"Mirman_Magnuson"
"78","101","1","1",717,"Mirman_Magnuson"
"79","101","1","1",648,"Mirman_Magnuson"
"80","101","1","1",649,"Mirman_Magnuson"
"81","101","1","1",559,"Mirman_Magnuson"
"82","101","1","1",511,"Mirman_Magnuson"
"83","101","1","1",1008,"Mirman_Magnuson"
"84","101","1","1",622,"Mirman_Magnuson"
"85","101","1","1",677,"Mirman_Magnuson"
"86","101","1","1",565,"Mirman_Magnuson"
"87","101","1","1",650,"Mirman_Magnuson"
"88","101","1","1",642,"Mirman_Magnuson"
"89","101","1","1",838,"Mirman_Magnuson"
"90","101","1","1",597,"Mirman_Magnuson"
"91","101","1","1",587,"Mirman_Magnuson"
"92","101","1","1",1049,"Mirman_Magnuson"
"93","101","1","1",590,"Mirman_Magnuson"
"95","101","1","1",670,"Mirman_Magnuson"
"96","101","1","1",768,"Mirman_Magnuson"
"97","101","1","1",628,"Mirman_Magnuson"
"98","101","1","1",741,"Mirman_Magnuson"
"99","101","1","1",776,"Mirman_Magnuson"
"101","102","2","2",588,"Mirman_Magnuson"
"102","102","2","2",595,"Mirman_Magnuson"
"103","102","2","2",670,"Mirman_Magnuson"
"104","102","2","2",560,"Mirman_Magnuson"
"105","102","2","2",831,"Mirman_Magnuson"
"106","102","2","2",694,"Mirman_Magnuson"
"107","102","2","2",551,"Mirman_Magnuson"
"108","102","2","2",716,"Mirman_Magnuson"
"109","102","2","2",651,"Mirman_Magnuson"
"110","102","2","2",625,"Mirman_Magnuson"
"111","102","2","2",742,"Mirman_Magnuson"
"112","102","2","2",673,"Mirman_Magnuson"
"113","102","2","2",948,"Mirman_Magnuson"
"114","102","2","2",680,"Mirman_Magnuson"
"115","102","2","2",799,"Mirman_Magnuson"
"116","102","2","2",812,"Mirman_Magnuson"
"117","102","2","2",715,"Mirman_Magnuson"
"118","102","2","2",775,"Mirman_Magnuson"
"119","102","2","2",705,"Mirman_Magnuson"
"120","102","2","2",912,"Mirman_Magnuson"
"121","102","2","2",597,"Mirman_Magnuson"
"122","102","2","2",652,"Mirman_Magnuson"
"123","102","2","2",840,"Mirman_Magnuson"
"124","102","2","2",595,"Mirman_Magnuson"
"125","102","2","2",1035,"Mirman_Magnuson"
"126","102","2","1",645,"Mirman_Magnuson"
"127","102","2","1",680,"Mirman_Magnuson"
"128","102","2","1",625,"Mirman_Magnuson"
"129","102","2","1",646,"Mirman_Magnuson"
"130","102","2","1",610,"Mirman_Magnuson"
"131","102","2","1",932,"Mirman_Magnuson"
"132","102","2","1",547,"Mirman_Magnuson"
"133","102","2","1",1412,"Mirman_Magnuson"
"134","102","2","1",671,"Mirman_Magnuson"
"135","102","2","1",842,"Mirman_Magnuson"
"136","102","2","1",560,"Mirman_Magnuson"
"137","102","2","1",566,"Mirman_Magnuson"
"138","102","2","1",747,"Mirman_Magnuson"
"139","102","2","1",585,"Mirman_Magnuson"
"140","102","2","1",613,"Mirman_Magnuson"
"141","102","2","1",718,"Mirman_Magnuson"
"142","102","2","1",837,"Mirman_Magnuson"
"143","102","2","1",689,"Mirman_Magnuson"
"144","102","2","1",661,"Mirman_Magnuson"
"145","102","2","1",654,"Mirman_Magnuson"
"146","102","2","1",655,"Mirman_Magnuson"
"147","102","2","1",629,"Mirman_Magnuson"
"148","102","2","1",663,"Mirman_Magnuson"
"149","102","2","1",672,"Mirman_Magnuson"
"150","102","2","1",694,"Mirman_Magnuson"
"151","102","1","1",671,"Mirman_Magnuson"
"152","102","1","1",580,"Mirman_Magnuson"
"153","102","1","1",653,"Mirman_Magnuson"
"154","102","1","1",637,"Mirman_Magnuson"
"155","102","1","1",641,"Mirman_Magnuson"
"156","102","1","1",1104,"Mirman_Magnuson"
"157","102","1","1",740,"Mirman_Magnuson"
"158","102","1","1",540,"Mirman_Magnuson"
"159","102","1","1",655,"Mirman_Magnuson"
"160","102","1","1",639,"Mirman_Magnuson"
"161","102","1","1",823,"Mirman_Magnuson"
"162","102","1","1",864,"Mirman_Magnuson"
"163","102","1","1",629,"Mirman_Magnuson"
"164","102","1","1",620,"Mirman_Magnuson"
"165","102","1","1",674,"Mirman_Magnuson"
"166","102","1","1",702,"Mirman_Magnuson"
"167","102","1","1",587,"Mirman_Magnuson"
"168","102","1","1",604,"Mirman_Magnuson"
"169","102","1","1",621,"Mirman_Magnuson"
"170","102","1","1",606,"Mirman_Magnuson"
"171","102","1","1",618,"Mirman_Magnuson"
"172","102","1","1",952,"Mirman_Magnuson"
"173","102","1","1",600,"Mirman_Magnuson"
"174","102","1","1",632,"Mirman_Magnuson"
"175","102","1","1",694,"Mirman_Magnuson"
"176","102","1","1",632,"Mirman_Magnuson"
"177","102","1","1",700,"Mirman_Magnuson"
"178","102","1","1",668,"Mirman_Magnuson"
"179","102","1","1",703,"Mirman_Magnuson"
"180","102","1","1",667,"Mirman_Magnuson"
"181","102","1","1",548,"Mirman_Magnuson"
"182","102","1","1",671,"Mirman_Magnuson"
"183","102","1","1",627,"Mirman_Magnuson"
"184","102","1","1",674,"Mirman_Magnuson"
"185","102","1","1",594,"Mirman_Magnuson"
"186","102","1","1",672,"Mirman_Magnuson"
"187","102","1","1",788,"Mirman_Magnuson"
"188","102","1","1",834,"Mirman_Magnuson"
"189","102","1","1",866,"Mirman_Magnuson"
"190","102","1","1",598,"Mirman_Magnuson"
"191","102","1","1",667,"Mirman_Magnuson"
"192","102","1","1",754,"Mirman_Magnuson"
"193","102","1","1",614,"Mirman_Magnuson"
"194","102","1","1",1283,"Mirman_Magnuson"
"195","102","1","1",807,"Mirman_Magnuson"
"196","102","1","1",694,"Mirman_Magnuson"
"197","102","1","1",739,"Mirman_Magnuson"
"198","102","1","1",627,"Mirman_Magnuson"
"199","102","1","1",676,"Mirman_Magnuson"
"200","102","1","1",863,"Mirman_Magnuson"
"201","103","2","2",707,"Mirman_Magnuson"
"202","103","2","2",586,"Mirman_Magnuson"
"203","103","2","2",725,"Mirman_Magnuson"
"204","103","2","2",705,"Mirman_Magnuson"
"205","103","2","2",904,"Mirman_Magnuson"
"206","103","2","2",778,"Mirman_Magnuson"
"207","103","2","2",724,"Mirman_Magnuson"
"208","103","2","2",818,"Mirman_Magnuson"
"209","103","2","2",972,"Mirman_Magnuson"
"210","103","2","2",1428,"Mirman_Magnuson"
"211","103","2","2",740,"Mirman_Magnuson"
"212","103","2","2",696,"Mirman_Magnuson"
"213","103","2","2",2224,"Mirman_Magnuson"
"214","103","2","2",608,"Mirman_Magnuson"
"215","103","2","2",1082,"Mirman_Magnuson"
"216","103","2","2",869,"Mirman_Magnuson"
"217","103","2","2",828,"Mirman_Magnuson"
"218","103","2","2",1220,"Mirman_Magnuson"
"219","103","2","2",1241,"Mirman_Magnuson"
"221","103","2","2",629,"Mirman_Magnuson"
"222","103","2","2",904,"Mirman_Magnuson"
"223","103","2","2",1198,"Mirman_Magnuson"
"224","103","2","2",638,"Mirman_Magnuson"
"225","103","2","2",828,"Mirman_Magnuson"
"226","103","2","1",906,"Mirman_Magnuson"
"227","103","2","1",1748,"Mirman_Magnuson"
"228","103","2","1",652,"Mirman_Magnuson"
"229","103","2","1",788,"Mirman_Magnuson"
"230","103","2","1",1093,"Mirman_Magnuson"
"231","103","2","1",1678,"Mirman_Magnuson"
"232","103","2","1",823,"Mirman_Magnuson"
"233","103","2","1",1103,"Mirman_Magnuson"
"234","103","2","1",634,"Mirman_Magnuson"
"235","103","2","1",975,"Mirman_Magnuson"
"236","103","2","1",822,"Mirman_Magnuson"
"237","103","2","1",1337,"Mirman_Magnuson"
"238","103","2","1",821,"Mirman_Magnuson"
"240","103","2","1",747,"Mirman_Magnuson"
"241","103","2","1",840,"Mirman_Magnuson"
"243","103","2","1",792,"Mirman_Magnuson"
"244","103","2","1",865,"Mirman_Magnuson"
"245","103","2","1",687,"Mirman_Magnuson"
"246","103","2","1",1860,"Mirman_Magnuson"
"247","103","2","1",1097,"Mirman_Magnuson"
"248","103","2","1",1197,"Mirman_Magnuson"
"249","103","2","1",740,"Mirman_Magnuson"
"250","103","2","1",2378,"Mirman_Magnuson"
"251","103","1","1",711,"Mirman_Magnuson"
"252","103","1","1",1195,"Mirman_Magnuson"
"253","103","1","1",746,"Mirman_Magnuson"
"254","103","1","1",656,"Mirman_Magnuson"
"255","103","1","1",1355,"Mirman_Magnuson"
"256","103","1","1",576,"Mirman_Magnuson"
"257","103","1","1",1133,"Mirman_Magnuson"
"258","103","1","1",844,"Mirman_Magnuson"
"259","103","1","1",692,"Mirman_Magnuson"
"260","103","1","1",679,"Mirman_Magnuson"
"261","103","1","1",622,"Mirman_Magnuson"
"262","103","1","1",1106,"Mirman_Magnuson"
"263","103","1","1",1017,"Mirman_Magnuson"
"264","103","1","1",1059,"Mirman_Magnuson"
"265","103","1","1",881,"Mirman_Magnuson"
"266","103","1","1",611,"Mirman_Magnuson"
"267","103","1","1",1079,"Mirman_Magnuson"
"268","103","1","1",856,"Mirman_Magnuson"
"269","103","1","1",712,"Mirman_Magnuson"
"270","103","1","1",915,"Mirman_Magnuson"
"271","103","1","1",1026,"Mirman_Magnuson"
"272","103","1","1",1550,"Mirman_Magnuson"
"273","103","1","1",766,"Mirman_Magnuson"
"274","103","1","1",769,"Mirman_Magnuson"
"275","103","1","1",625,"Mirman_Magnuson"
"276","103","1","1",826,"Mirman_Magnuson"
"277","103","1","1",714,"Mirman_Magnuson"
"278","103","1","1",874,"Mirman_Magnuson"
"279","103","1","1",981,"Mirman_Magnuson"
"280","103","1","1",838,"Mirman_Magnuson"
"281","103","1","1",917,"Mirman_Magnuson"
"282","103","1","1",1146,"Mirman_Magnuson"
"283","103","1","1",1587,"Mirman_Magnuson"
"284","103","1","1",728,"Mirman_Magnuson"
"285","103","1","1",700,"Mirman_Magnuson"
"286","103","1","1",645,"Mirman_Magnuson"
"287","103","1","1",853,"Mirman_Magnuson"
"288","103","1","1",708,"Mirman_Magnuson"
"289","103","1","1",930,"Mirman_Magnuson"
"290","103","1","1",643,"Mirman_Magnuson"
"291","103","1","1",746,"Mirman_Magnuson"
"292","103","1","1",1331,"Mirman_Magnuson"
"293","103","1","1",813,"Mirman_Magnuson"
"295","103","1","1",1044,"Mirman_Magnuson"
"296","103","1","1",877,"Mirman_Magnuson"
"297","103","1","1",654,"Mirman_Magnuson"
"298","103","1","1",715,"Mirman_Magnuson"
"299","103","1","1",1973,"Mirman_Magnuson"
"300","103","1","1",859,"Mirman_Magnuson"
"302","104","2","2",622,"Mirman_Magnuson"
"303","104","2","2",757,"Mirman_Magnuson"
"304","104","2","2",567,"Mirman_Magnuson"
"305","104","2","2",663,"Mirman_Magnuson"
"306","104","2","2",1776,"Mirman_Magnuson"
"307","104","2","2",739,"Mirman_Magnuson"
"308","104","2","2",949,"Mirman_Magnuson"
"309","104","2","2",995,"Mirman_Magnuson"
"310","104","2","2",832,"Mirman_Magnuson"
"311","104","2","2",667,"Mirman_Magnuson"
"312","104","2","2",970,"Mirman_Magnuson"
"314","104","2","2",716,"Mirman_Magnuson"
"315","104","2","2",972,"Mirman_Magnuson"
"316","104","2","2",739,"Mirman_Magnuson"
"317","104","2","2",845,"Mirman_Magnuson"
"318","104","2","2",1166,"Mirman_Magnuson"
"319","104","2","2",1431,"Mirman_Magnuson"
"320","104","2","2",965,"Mirman_Magnuson"
"321","104","2","2",694,"Mirman_Magnuson"
"322","104","2","2",745,"Mirman_Magnuson"
"323","104","2","2",1211,"Mirman_Magnuson"
"324","104","2","2",2037,"Mirman_Magnuson"
"325","104","2","2",1541,"Mirman_Magnuson"
"326","104","2","1",306,"Mirman_Magnuson"
"327","104","2","1",683,"Mirman_Magnuson"
"328","104","2","1",638,"Mirman_Magnuson"
"329","104","2","1",678,"Mirman_Magnuson"
"330","104","2","1",905,"Mirman_Magnuson"
"332","104","2","1",920,"Mirman_Magnuson"
"333","104","2","1",834,"Mirman_Magnuson"
"334","104","2","1",919,"Mirman_Magnuson"
"336","104","2","1",1409,"Mirman_Magnuson"
"337","104","2","1",1033,"Mirman_Magnuson"
"338","104","2","1",893,"Mirman_Magnuson"
"339","104","2","1",1520,"Mirman_Magnuson"
"340","104","2","1",1347,"Mirman_Magnuson"
"341","104","2","1",781,"Mirman_Magnuson"
"342","104","2","1",1406,"Mirman_Magnuson"
"343","104","2","1",617,"Mirman_Magnuson"
"344","104","2","1",975,"Mirman_Magnuson"
"345","104","2","1",717,"Mirman_Magnuson"
"347","104","2","1",962,"Mirman_Magnuson"
"348","104","2","1",761,"Mirman_Magnuson"
"349","104","2","1",946,"Mirman_Magnuson"
"350","104","2","1",1919,"Mirman_Magnuson"
"351","104","1","1",681,"Mirman_Magnuson"
"352","104","1","1",2049,"Mirman_Magnuson"
"353","104","1","1",1029,"Mirman_Magnuson"
"354","104","1","1",698,"Mirman_Magnuson"
"355","104","1","1",940,"Mirman_Magnuson"
"356","104","1","1",546,"Mirman_Magnuson"
"357","104","1","1",1182,"Mirman_Magnuson"
"358","104","1","1",1679,"Mirman_Magnuson"
"359","104","1","1",570,"Mirman_Magnuson"
"360","104","1","1",1207,"Mirman_Magnuson"
"361","104","1","1",1145,"Mirman_Magnuson"
"362","104","1","1",1648,"Mirman_Magnuson"
"363","104","1","1",604,"Mirman_Magnuson"
"364","104","1","1",1567,"Mirman_Magnuson"
"366","104","1","1",1756,"Mirman_Magnuson"
"367","104","1","1",627,"Mirman_Magnuson"
"368","104","1","1",898,"Mirman_Magnuson"
"369","104","1","1",856,"Mirman_Magnuson"
"370","104","1","1",855,"Mirman_Magnuson"
"372","104","1","1",1152,"Mirman_Magnuson"
"373","104","1","1",692,"Mirman_Magnuson"
"374","104","1","1",2294,"Mirman_Magnuson"
"375","104","1","1",2333,"Mirman_Magnuson"
"376","104","1","1",919,"Mirman_Magnuson"
"377","104","1","1",3401,"Mirman_Magnuson"
"378","104","1","1",643,"Mirman_Magnuson"
"379","104","1","1",652,"Mirman_Magnuson"
"380","104","1","1",689,"Mirman_Magnuson"
"381","104","1","1",584,"Mirman_Magnuson"
"382","104","1","1",3962,"Mirman_Magnuson"
"383","104","1","1",225,"Mirman_Magnuson"
"384","104","1","1",610,"Mirman_Magnuson"
"385","104","1","1",1027,"Mirman_Magnuson"
"386","104","1","1",2049,"Mirman_Magnuson"
"387","104","1","1",890,"Mirman_Magnuson"
"388","104","1","1",2431,"Mirman_Magnuson"
"389","104","1","1",952,"Mirman_Magnuson"
"390","104","1","1",904,"Mirman_Magnuson"
"391","104","1","1",683,"Mirman_Magnuson"
"393","104","1","1",993,"Mirman_Magnuson"
"395","104","1","1",1146,"Mirman_Magnuson"
"396","104","1","1",849,"Mirman_Magnuson"
"397","104","1","1",2539,"Mirman_Magnuson"
"398","104","1","1",714,"Mirman_Magnuson"
"399","104","1","1",784,"Mirman_Magnuson"
"400","104","1","1",902,"Mirman_Magnuson"
"401","106","2","2",682,"Mirman_Magnuson"
"402","106","2","2",572,"Mirman_Magnuson"
"403","106","2","2",641,"Mirman_Magnuson"
"404","106","2","2",552,"Mirman_Magnuson"
"405","106","2","2",614,"Mirman_Magnuson"
"406","106","2","2",657,"Mirman_Magnuson"
"407","106","2","2",725,"Mirman_Magnuson"
"408","106","2","2",666,"Mirman_Magnuson"
"409","106","2","2",636,"Mirman_Magnuson"
"410","106","2","2",813,"Mirman_Magnuson"
"411","106","2","2",670,"Mirman_Magnuson"
"412","106","2","2",646,"Mirman_Magnuson"
"413","106","2","2",1036,"Mirman_Magnuson"
"414","106","2","2",708,"Mirman_Magnuson"
"415","106","2","2",840,"Mirman_Magnuson"
"416","106","2","2",887,"Mirman_Magnuson"
"417","106","2","2",693,"Mirman_Magnuson"
"418","106","2","2",683,"Mirman_Magnuson"
"419","106","2","2",585,"Mirman_Magnuson"
"420","106","2","2",822,"Mirman_Magnuson"
"421","106","2","2",647,"Mirman_Magnuson"
"422","106","2","2",636,"Mirman_Magnuson"
"423","106","2","2",750,"Mirman_Magnuson"
"424","106","2","2",661,"Mirman_Magnuson"
"426","106","2","1",539,"Mirman_Magnuson"
"427","106","2","1",886,"Mirman_Magnuson"
"429","106","2","1",637,"Mirman_Magnuson"
"430","106","2","1",627,"Mirman_Magnuson"
"431","106","2","1",581,"Mirman_Magnuson"
"432","106","2","1",757,"Mirman_Magnuson"
