,subNum,cong,rt,Exp,Inter
1,10,unrelated,1979.3,Roelofs,pic
3,10,unrelated,1578.3,Roelofs,pic
4,10,unrelated,1274.3,Roelofs,word
5,10,related,1393.3,Roelofs,pic
6,10,related,2319.3,Roelofs,word
7,10,unrelated,1246.3,Roelofs,word
8,10,unrelated,1379.3,Roelofs,word
9,10,unrelated,1390.3,Roelofs,pic
10,10,unrelated,1029.3,Roelofs,pic
11,10,unrelated,1051.3,Roelofs,pic
12,10,unrelated,1803.3,Roelofs,pic
13,10,related,1366.3,Roelofs,word
14,10,unrelated,1492.3,Roelofs,pic
15,10,unrelated,1325.3,Roelofs,word
16,10,unrelated,930.3,Roelofs,word
17,10,related,974.3,Roelofs,word
18,10,related,1008.3,Roelofs,pic
19,10,unrelated,1025.3,Roelofs,word
20,10,related,1168.3,Roelofs,word
21,10,related,751.3,Roelofs,word
22,10,unrelated,923.3,Roelofs,pic
23,10,related,812.3,Roelofs,word
24,10,unrelated,999.3,Roelofs,pic
25,10,unrelated,1684.3,Roelofs,pic
26,10,related,1198.3,Roelofs,pic
27,10,related,1010.3,Roelofs,pic
28,10,related,909.3,Roelofs,pic
29,10,related,1583.3,Roelofs,pic
30,10,unrelated,1051.3,Roelofs,pic
31,10,unrelated,883.3,Roelofs,word
32,10,related,943.3,Roelofs,word
33,10,unrelated,1715.3,Roelofs,pic
34,10,related,1186.3,Roelofs,pic
35,10,unrelated,1749.3,Roelofs,word
36,10,unrelated,900.3,Roelofs,word
37,10,related,3160.3,Roelofs,pic
38,10,unrelated,1057.3,Roelofs,word
39,10,unrelated,1788.3,Roelofs,word
40,10,unrelated,1334.3,Roelofs,pic
41,10,unrelated,2043.3,Roelofs,word
42,10,related,806.3,Roelofs,word
43,10,unrelated,1223.3,Roelofs,pic
44,10,unrelated,1240.3,Roelofs,pic
45,10,unrelated,900.3,Roelofs,word
46,10,unrelated,2096.3,Roelofs,pic
47,10,related,1056.3,Roelofs,word
48,10,unrelated,1446.3,Roelofs,pic
49,10,unrelated,2138.3,Roelofs,pic
50,10,related,1322.3,Roelofs,pic
51,10,related,1341.3,Roelofs,pic
52,10,unrelated,983.3,Roelofs,pic
53,10,related,1179.3,Roelofs,pic
54,10,related,1044.3,Roelofs,word
55,10,related,1140.3,Roelofs,pic
56,10,related,766.3,Roelofs,word
57,10,related,1037.3,Roelofs,pic
58,10,unrelated,980.3,Roelofs,word
59,10,related,940.3,Roelofs,word
60,10,related,1149.3,Roelofs,pic
61,10,unrelated,2603.3,Roelofs,pic
62,10,related,1082.3,Roelofs,pic
63,10,related,1667.3,Roelofs,pic
64,10,related,1465.3,Roelofs,word
65,10,related,722.3,Roelofs,word
66,10,related,1475.3,Roelofs,pic
67,10,related,1242.3,Roelofs,pic
68,10,unrelated,919.3,Roelofs,pic
69,10,unrelated,936.3,Roelofs,word
70,10,unrelated,997.3,Roelofs,word
71,10,unrelated,2037.3,Roelofs,pic
72,10,related,1739.3,Roelofs,pic
73,10,related,1452.3,Roelofs,word
74,10,unrelated,970.3,Roelofs,word
75,10,unrelated,1610.3,Roelofs,pic
76,10,related,1208.3,Roelofs,pic
77,10,related,887.3,Roelofs,pic
78,10,related,1124.3,Roelofs,word
79,10,unrelated,903.3,Roelofs,word
80,10,unrelated,866.3,Roelofs,word
81,10,unrelated,763.3,Roelofs,word
82,10,related,948.3,Roelofs,word
83,10,related,899.3,Roelofs,word
84,10,unrelated,831.3,Roelofs,word
85,10,related,980.3,Roelofs,word
86,10,related,790.3,Roelofs,word
87,10,related,1096.3,Roelofs,pic
88,10,unrelated,1110.3,Roelofs,word
89,10,related,1080.3,Roelofs,pic
90,10,unrelated,1161.3,Roelofs,pic
91,10,unrelated,850.3,Roelofs,pic
92,10,unrelated,854.3,Roelofs,word
93,10,related,1103.3,Roelofs,word
94,10,unrelated,860.3,Roelofs,word
95,10,unrelated,1094.3,Roelofs,pic
96,10,related,807.3,Roelofs,word
97,10,related,1136.3,Roelofs,pic
98,10,related,1283.3,Roelofs,pic
99,10,unrelated,913.3,Roelofs,pic
100,10,related,891.3,Roelofs,word
101,10,unrelated,717.3,Roelofs,word
102,10,unrelated,942.3,Roelofs,pic
103,10,unrelated,918.3,Roelofs,word
104,10,unrelated,765.3,Roelofs,word
105,10,related,763.3,Roelofs,word
106,10,unrelated,745.3,Roelofs,pic
107,10,related,865.3,Roelofs,word
108,10,unrelated,751.3,Roelofs,word
109,10,unrelated,891.3,Roelofs,word
110,10,unrelated,959.3,Roelofs,pic
111,10,unrelated,928.3,Roelofs,word
112,10,related,724.3,Roelofs,word
113,10,related,894.3,Roelofs,word
114,10,related,743.3,Roelofs,word
115,10,related,985.3,Roelofs,pic
116,10,related,806.3,Roelofs,pic
117,10,unrelated,769.3,Roelofs,word
118,10,unrelated,754.3,Roelofs,word
119,10,related,1038.3,Roelofs,pic
120,10,unrelated,969.3,Roelofs,word
121,10,unrelated,930.3,Roelofs,pic
122,10,unrelated,857.3,Roelofs,word
124,10,unrelated,864.3,Roelofs,word
125,10,unrelated,1009.3,Roelofs,pic
126,10,unrelated,1119.3,Roelofs,pic
127,10,unrelated,688.3,Roelofs,word
128,10,related,812.3,Roelofs,word
129,10,related,848.3,Roelofs,word
130,10,related,733.3,Roelofs,word
131,10,related,1187.3,Roelofs,word
132,10,unrelated,3480.3,Roelofs,pic
133,10,unrelated,960.3,Roelofs,pic
134,10,unrelated,780.3,Roelofs,word
135,10,unrelated,959.3,Roelofs,pic
136,10,related,863.3,Roelofs,word
