,subNum,cong,rt,Exp
1,501,1,504,Yap_colleagues_CleanProc
2,501,1,521,Yap_colleagues_CleanProc
3,501,1,530,Yap_colleagues_CleanProc
4,501,1,537,Yap_colleagues_CleanProc
5,501,1,543,Yap_colleagues_CleanProc
6,501,1,553,Yap_colleagues_CleanProc
7,501,1,561,Yap_colleagues_DegradedProc
8,501,1,562,Yap_colleagues_CleanProc
9,501,1,566,Yap_colleagues_CleanProc
10,501,1,566,Yap_colleagues_DegradedProc
11,501,1,575,Yap_colleagues_CleanProc
12,501,1,578,Yap_colleagues_CleanProc
13,501,1,578,Yap_colleagues_CleanProc
14,501,1,592,Yap_colleagues_CleanProc
15,501,1,594,Yap_colleagues_DegradedProc
16,501,1,594,Yap_colleagues_DegradedProc
17,501,1,597,Yap_colleagues_CleanProc
18,501,1,602,Yap_colleagues_CleanProc
19,501,1,603,Yap_colleagues_CleanProc
20,501,1,603,Yap_colleagues_CleanProc
21,501,1,604,Yap_colleagues_CleanProc
22,501,1,605,Yap_colleagues_CleanProc
23,501,1,618,Yap_colleagues_CleanProc
24,501,1,632,Yap_colleagues_CleanProc
25,501,1,635,Yap_colleagues_CleanProc
26,501,1,635,Yap_colleagues_CleanProc
27,501,1,636,Yap_colleagues_CleanProc
28,501,1,643,Yap_colleagues_CleanProc
29,501,1,647,Yap_colleagues_CleanProc
30,501,1,647,Yap_colleagues_CleanProc
31,501,1,648,Yap_colleagues_CleanProc
32,501,1,648,Yap_colleagues_CleanProc
33,501,1,649,Yap_colleagues_DegradedProc
34,501,1,653,Yap_colleagues_CleanProc
35,501,1,656,Yap_colleagues_CleanProc
36,501,1,665,Yap_colleagues_CleanProc
37,501,1,673,Yap_colleagues_CleanProc
38,501,1,673,Yap_colleagues_DegradedProc
39,501,1,680,Yap_colleagues_CleanProc
40,501,1,691,Yap_colleagues_DegradedProc
41,501,1,696,Yap_colleagues_CleanProc
42,501,1,700,Yap_colleagues_CleanProc
43,501,1,700,Yap_colleagues_DegradedProc
44,501,1,701,Yap_colleagues_CleanProc
45,501,1,702,Yap_colleagues_DegradedProc
46,501,1,706,Yap_colleagues_DegradedProc
47,501,1,710,Yap_colleagues_DegradedProc
48,501,1,713,Yap_colleagues_CleanProc
49,501,1,728,Yap_colleagues_CleanProc
50,501,1,732,Yap_colleagues_CleanProc
51,501,1,733,Yap_colleagues_DegradedProc
52,501,1,734,Yap_colleagues_DegradedProc
53,501,1,747,Yap_colleagues_DegradedProc
54,501,1,756,Yap_colleagues_CleanProc
55,501,1,766,Yap_colleagues_CleanProc
56,501,1,766,Yap_colleagues_DegradedProc
57,501,1,769,Yap_colleagues_DegradedProc
58,501,1,778,Yap_colleagues_CleanProc
59,501,1,782,Yap_colleagues_DegradedProc
60,501,1,785,Yap_colleagues_DegradedProc
61,501,1,794,Yap_colleagues_DegradedProc
62,501,1,799,Yap_colleagues_DegradedProc
63,501,1,801,Yap_colleagues_DegradedProc
