,subNum,cong,Inter,rt,Exp
1,501,1,CleanProc,504,Yap_colleagues
2,501,1,CleanProc,521,Yap_colleagues
3,501,1,CleanProc,530,Yap_colleagues
4,501,1,CleanProc,537,Yap_colleagues
5,501,1,CleanProc,543,Yap_colleagues
6,501,1,CleanProc,553,Yap_colleagues
7,501,1,DegradedProc,561,Yap_colleagues
8,501,1,CleanProc,562,Yap_colleagues
9,501,1,CleanProc,566,Yap_colleagues
10,501,1,DegradedProc,566,Yap_colleagues
11,501,1,CleanProc,575,Yap_colleagues
12,501,1,CleanProc,578,Yap_colleagues
13,501,1,CleanProc,578,Yap_colleagues
14,501,1,CleanProc,592,Yap_colleagues
15,501,1,DegradedProc,594,Yap_colleagues
16,501,1,DegradedProc,594,Yap_colleagues
17,501,1,CleanProc,597,Yap_colleagues
18,501,1,CleanProc,602,Yap_colleagues
19,501,1,CleanProc,603,Yap_colleagues
20,501,1,CleanProc,603,Yap_colleagues
21,501,1,CleanProc,604,Yap_colleagues
22,501,1,CleanProc,605,Yap_colleagues
23,501,1,CleanProc,618,Yap_colleagues
24,501,1,CleanProc,632,Yap_colleagues
25,501,1,CleanProc,635,Yap_colleagues
26,501,1,CleanProc,635,Yap_colleagues
27,501,1,CleanProc,636,Yap_colleagues
28,501,1,CleanProc,643,Yap_colleagues
29,501,1,CleanProc,647,Yap_colleagues
30,501,1,CleanProc,647,Yap_colleagues
31,501,1,CleanProc,648,Yap_colleagues
32,501,1,CleanProc,648,Yap_colleagues
33,501,1,DegradedProc,649,Yap_colleagues
34,501,1,CleanProc,653,Yap_colleagues
35,501,1,CleanProc,656,Yap_colleagues
36,501,1,CleanProc,665,Yap_colleagues
37,501,1,CleanProc,673,Yap_colleagues
38,501,1,DegradedProc,673,Yap_colleagues
39,501,1,CleanProc,680,Yap_colleagues
40,501,1,DegradedProc,691,Yap_colleagues
41,501,1,CleanProc,696,Yap_colleagues
42,501,1,CleanProc,700,Yap_colleagues
43,501,1,DegradedProc,700,Yap_colleagues
44,501,1,CleanProc,701,Yap_colleagues
45,501,1,DegradedProc,702,Yap_colleagues
46,501,1,DegradedProc,706,Yap_colleagues
47,501,1,DegradedProc,710,Yap_colleagues
48,501,1,CleanProc,713,Yap_colleagues
49,501,1,CleanProc,728,Yap_colleagues
50,501,1,CleanProc,732,Yap_colleagues
51,501,1,DegradedProc,733,Yap_colleagues
52,501,1,DegradedProc,734,Yap_colleagues
53,501,1,DegradedProc,747,Yap_colleagues
54,501,1,CleanProc,756,Yap_colleagues
55,501,1,CleanProc,766,Yap_colleagues
56,501,1,DegradedProc,766,Yap_colleagues
57,501,1,DegradedProc,769,Yap_colleagues
58,501,1,CleanProc,778,Yap_colleagues
59,501,1,DegradedProc,782,Yap_colleagues
60,501,1,DegradedProc,785,Yap_colleagues
61,501,1,DegradedProc,794,Yap_colleagues
62,501,1,DegradedProc,799,Yap_colleagues
63,501,1,DegradedProc,801,Yap_colleagues
64,501,1,DegradedProc,801,Yap_colleagues
65,501,1,CleanProc,804,Yap_colleagues
66,501,1,DegradedProc,808,Yap_colleagues
67,501,1,DegradedProc,841,Yap_colleagues
68,501,1,CleanProc,864,Yap_colleagues
69,501,1,DegradedProc,870,Yap_colleagues
70,501,1,DegradedProc,888,Yap_colleagues
71,501,1,DegradedProc,895,Yap_colleagues
72,501,1,DegradedProc,937,Yap_colleagues
73,501,1,DegradedProc,947,Yap_colleagues
74,501,1,DegradedProc,965,Yap_colleagues
75,501,1,DegradedProc,967,Yap_colleagues
76,501,1,DegradedProc,979,Yap_colleagues
77,501,1,DegradedProc,983,Yap_colleagues
78,501,1,CleanProc,1009,Yap_colleagues
79,501,1,DegradedProc,1035,Yap_colleagues
80,501,1,CleanProc,1046,Yap_colleagues
81,501,1,DegradedProc,1059,Yap_colleagues
82,501,1,CleanProc,1076,Yap_colleagues
83,501,1,DegradedProc,1105,Yap_colleagues
84,501,1,DegradedProc,1116,Yap_colleagues
85,501,1,DegradedProc,1132,Yap_colleagues
86,501,1,DegradedProc,1185,Yap_colleagues
87,501,1,DegradedProc,1263,Yap_colleagues
88,501,1,CleanProc,1451,Yap_colleagues
89,501,1,DegradedProc,1698,Yap_colleagues
90,502,1,CleanProc,472,Yap_colleagues
91,502,1,CleanProc,483,Yap_colleagues
92,502,1,CleanProc,497,Yap_colleagues
93,502,1,CleanProc,500,Yap_colleagues
94,502,1,CleanProc,511,Yap_colleagues
95,502,1,CleanProc,514,Yap_colleagues
96,502,1,CleanProc,516,Yap_colleagues
97,502,1,CleanProc,518,Yap_colleagues
98,502,1,CleanProc,519,Yap_colleagues
99,502,1,CleanProc,528,Yap_colleagues
100,502,1,CleanProc,536,Yap_colleagues
101,502,1,CleanProc,536,Yap_colleagues
102,502,1,DegradedProc,536,Yap_colleagues
103,502,1,CleanProc,541,Yap_colleagues
104,502,1,CleanProc,550,Yap_colleagues
105,502,1,CleanProc,551,Yap_colleagues
106,502,1,CleanProc,555,Yap_colleagues
107,502,1,CleanProc,555,Yap_colleagues
108,502,1,CleanProc,556,Yap_colleagues
109,502,1,CleanProc,559,Yap_colleagues
110,502,1,DegradedProc,562,Yap_colleagues
111,502,1,CleanProc,567,Yap_colleagues
112,502,1,CleanProc,568,Yap_colleagues
113,502,1,DegradedProc,570,Yap_colleagues
114,502,1,DegradedProc,571,Yap_colleagues
115,502,1,CleanProc,578,Yap_colleagues
116,502,1,DegradedProc,579,Yap_colleagues
117,502,1,CleanProc,586,Yap_colleagues
118,502,1,CleanProc,589,Yap_colleagues
119,502,1,CleanProc,590,Yap_colleagues
120,502,1,CleanProc,592,Yap_colleagues
121,502,1,DegradedProc,592,Yap_colleagues
122,502,1,DegradedProc,593,Yap_colleagues
123,502,1,CleanProc,596,Yap_colleagues
124,502,1,CleanProc,599,Yap_colleagues
125,502,1,CleanProc,600,Yap_colleagues
126,502,1,CleanProc,602,Yap_colleagues
127,502,1,CleanProc,608,Yap_colleagues
128,502,1,DegradedProc,609,Yap_colleagues
129,502,1,DegradedProc,610,Yap_colleagues
130,502,1,CleanProc,616,Yap_colleagues
131,502,1,DegradedProc,626,Yap_colleagues
132,502,1,DegradedProc,626,Yap_colleagues
133,502,1,CleanProc,629,Yap_colleagues
134,502,1,CleanProc,646,Yap_colleagues
135,502,1,DegradedProc,650,Yap_colleagues
136,502,1,DegradedProc,657,Yap_colleagues
137,502,1,CleanProc,660,Yap_colleagues
138,502,1,DegradedProc,674,Yap_colleagues
139,502,1,DegradedProc,679,Yap_colleagues
140,502,1,CleanProc,682,Yap_colleagues
141,502,1,DegradedProc,683,Yap_colleagues
142,502,1,DegradedProc,683,Yap_colleagues
143,502,1,CleanProc,685,Yap_colleagues
144,502,1,DegradedProc,703,Yap_colleagues
145,502,1,DegradedProc,706,Yap_colleagues
146,502,1,CleanProc,709,Yap_colleagues
147,502,1,DegradedProc,719,Yap_colleagues
148,502,1,CleanProc,727,Yap_colleagues
149,502,1,DegradedProc,728,Yap_colleagues
150,502,1,CleanProc,741,Yap_colleagues
151,502,1,DegradedProc,742,Yap_colleagues
152,502,1,DegradedProc,747,Yap_colleagues
153,502,1,CleanProc,755,Yap_colleagues
154,502,1,CleanProc,779,Yap_colleagues
155,502,1,DegradedProc,781,Yap_colleagues
156,502,1,CleanProc,782,Yap_colleagues
157,502,1,CleanProc,785,Yap_colleagues
158,502,1,DegradedProc,785,Yap_colleagues
159,502,1,DegradedProc,786,Yap_colleagues
160,502,1,DegradedProc,794,Yap_colleagues
161,502,1,CleanProc,795,Yap_colleagues
162,502,1,DegradedProc,802,Yap_colleagues
163,502,1,DegradedProc,804,Yap_colleagues
164,502,1,CleanProc,805,Yap_colleagues
165,502,1,DegradedProc,811,Yap_colleagues
166,502,1,DegradedProc,831,Yap_colleagues
167,502,1,DegradedProc,842,Yap_colleagues
168,502,1,DegradedProc,845,Yap_colleagues
169,502,1,DegradedProc,849,Yap_colleagues
170,502,1,DegradedProc,889,Yap_colleagues
171,502,1,DegradedProc,922,Yap_colleagues
172,502,1,DegradedProc,983,Yap_colleagues
173,502,1,DegradedProc,1073,Yap_colleagues
174,502,1,DegradedProc,1170,Yap_colleagues
175,502,1,DegradedProc,1198,Yap_colleagues
176,502,1,DegradedProc,1264,Yap_colleagues
177,503,1,CleanProc,497,Yap_colleagues
178,503,1,CleanProc,511,Yap_colleagues
179,503,1,CleanProc,537,Yap_colleagues
180,503,1,CleanProc,563,Yap_colleagues
181,503,1,CleanProc,563,Yap_colleagues
182,503,1,CleanProc,574,Yap_colleagues
183,503,1,CleanProc,586,Yap_colleagues
184,503,1,CleanProc,588,Yap_colleagues
185,503,1,DegradedProc,607,Yap_colleagues
186,503,1,CleanProc,619,Yap_colleagues
187,503,1,CleanProc,625,Yap_colleagues
188,503,1,CleanProc,629,Yap_colleagues
189,503,1,CleanProc,634,Yap_colleagues
190,503,1,CleanProc,635,Yap_colleagues
191,503,1,DegradedProc,638,Yap_colleagues
192,503,1,DegradedProc,642,Yap_colleagues
193,503,1,DegradedProc,648,Yap_colleagues
194,503,1,CleanProc,657,Yap_colleagues
195,503,1,CleanProc,663,Yap_colleagues
196,503,1,CleanProc,664,Yap_colleagues
197,503,1,CleanProc,674,Yap_colleagues
198,503,1,DegradedProc,677,Yap_colleagues
199,503,1,CleanProc,681,Yap_colleagues
200,503,1,DegradedProc,683,Yap_colleagues
201,503,1,DegradedProc,694,Yap_colleagues
202,503,1,CleanProc,701,Yap_colleagues
203,503,1,DegradedProc,701,Yap_colleagues
204,503,1,CleanProc,705,Yap_colleagues
205,503,1,DegradedProc,717,Yap_colleagues
206,503,1,DegradedProc,718,Yap_colleagues
207,503,1,DegradedProc,736,Yap_colleagues
208,503,1,CleanProc,739,Yap_colleagues
209,503,1,CleanProc,742,Yap_colleagues
210,503,1,CleanProc,746,Yap_colleagues
211,503,1,CleanProc,754,Yap_colleagues
212,503,1,DegradedProc,762,Yap_colleagues
213,503,1,CleanProc,775,Yap_colleagues
214,503,1,CleanProc,777,Yap_colleagues
215,503,1,DegradedProc,779,Yap_colleagues
216,503,1,CleanProc,786,Yap_colleagues
217,503,1,CleanProc,788,Yap_colleagues
218,503,1,DegradedProc,794,Yap_colleagues
219,503,1,CleanProc,799,Yap_colleagues
220,503,1,CleanProc,803,Yap_colleagues
221,503,1,DegradedProc,807,Yap_colleagues
222,503,1,CleanProc,813,Yap_colleagues
223,503,1,CleanProc,818,Yap_colleagues
224,503,1,CleanProc,830,Yap_colleagues
225,503,1,DegradedProc,834,Yap_colleagues
226,503,1,DegradedProc,844,Yap_colleagues
227,503,1,DegradedProc,850,Yap_colleagues
228,503,1,DegradedProc,859,Yap_colleagues
229,503,1,CleanProc,860,Yap_colleagues
230,503,1,DegradedProc,860,Yap_colleagues
231,503,1,DegradedProc,862,Yap_colleagues
232,503,1,DegradedProc,884,Yap_colleagues
233,503,1,CleanProc,888,Yap_colleagues
234,503,1,DegradedProc,928,Yap_colleagues
235,503,1,DegradedProc,939,Yap_colleagues
236,503,1,DegradedProc,961,Yap_colleagues
237,503,1,CleanProc,972,Yap_colleagues
238,503,1,DegradedProc,973,Yap_colleagues
239,503,1,CleanProc,981,Yap_colleagues
240,503,1,CleanProc,991,Yap_colleagues
241,503,1,DegradedProc,993,Yap_colleagues
242,503,1,CleanProc,1007,Yap_colleagues
243,503,1,DegradedProc,1011,Yap_colleagues
244,503,1,DegradedProc,1051,Yap_colleagues
245,503,1,DegradedProc,1075,Yap_colleagues
246,503,1,DegradedProc,1081,Yap_colleagues
247,503,1,DegradedProc,1082,Yap_colleagues
248,503,1,DegradedProc,1088,Yap_colleagues
249,503,1,DegradedProc,1099,Yap_colleagues
250,503,1,CleanProc,1133,Yap_colleagues
251,503,1,DegradedProc,1139,Yap_colleagues
252,503,1,DegradedProc,1139,Yap_colleagues
253,503,1,DegradedProc,1162,Yap_colleagues
254,503,1,DegradedProc,1163,Yap_colleagues
255,503,1,DegradedProc,1174,Yap_colleagues
256,503,1,CleanProc,1190,Yap_colleagues
257,503,1,DegradedProc,1191,Yap_colleagues
258,503,1,CleanProc,1192,Yap_colleagues
259,503,1,CleanProc,1265,Yap_colleagues
260,503,1,DegradedProc,1284,Yap_colleagues
261,503,1,CleanProc,1291,Yap_colleagues
262,503,1,DegradedProc,1307,Yap_colleagues
263,503,1,DegradedProc,1390,Yap_colleagues
264,503,1,CleanProc,1489,Yap_colleagues
265,503,1,CleanProc,1586,Yap_colleagues
266,503,1,DegradedProc,1752,Yap_colleagues
267,503,1,DegradedProc,1762,Yap_colleagues
268,503,1,DegradedProc,2058,Yap_colleagues
269,503,1,DegradedProc,2141,Yap_colleagues
270,504,1,CleanProc,532,Yap_colleagues
271,504,1,CleanProc,543,Yap_colleagues
272,504,1,CleanProc,544,Yap_colleagues
273,504,1,CleanProc,576,Yap_colleagues
274,504,1,CleanProc,581,Yap_colleagues
275,504,1,CleanProc,583,Yap_colleagues
276,504,1,CleanProc,590,Yap_colleagues
277,504,1,CleanProc,595,Yap_colleagues
278,504,1,CleanProc,602,Yap_colleagues
279,504,1,CleanProc,619,Yap_colleagues
280,504,1,DegradedProc,619,Yap_colleagues
281,504,1,CleanProc,622,Yap_colleagues
282,504,1,CleanProc,628,Yap_colleagues
283,504,1,DegradedProc,634,Yap_colleagues
284,504,1,CleanProc,635,Yap_colleagues
285,504,1,DegradedProc,644,Yap_colleagues
286,504,1,CleanProc,648,Yap_colleagues
287,504,1,CleanProc,651,Yap_colleagues
288,504,1,CleanProc,652,Yap_colleagues
289,504,1,DegradedProc,652,Yap_colleagues
290,504,1,DegradedProc,658,Yap_colleagues
291,504,1,CleanProc,665,Yap_colleagues
292,504,1,CleanProc,668,Yap_colleagues
293,504,1,CleanProc,680,Yap_colleagues
294,504,1,CleanProc,682,Yap_colleagues
295,504,1,DegradedProc,682,Yap_colleagues
296,504,1,CleanProc,688,Yap_colleagues
297,504,1,DegradedProc,689,Yap_colleagues
298,504,1,CleanProc,708,Yap_colleagues
299,504,1,CleanProc,711,Yap_colleagues
300,504,1,CleanProc,719,Yap_colleagues
301,504,1,CleanProc,720,Yap_colleagues
302,504,1,CleanProc,723,Yap_colleagues
303,504,1,CleanProc,724,Yap_colleagues
304,504,1,CleanProc,724,Yap_colleagues
305,504,1,DegradedProc,725,Yap_colleagues
306,504,1,DegradedProc,728,Yap_colleagues
307,504,1,DegradedProc,737,Yap_colleagues
308,504,1,DegradedProc,748,Yap_colleagues
309,504,1,CleanProc,749,Yap_colleagues
310,504,1,DegradedProc,757,Yap_colleagues
311,504,1,CleanProc,762,Yap_colleagues
312,504,1,DegradedProc,765,Yap_colleagues
313,504,1,DegradedProc,767,Yap_colleagues
314,504,1,DegradedProc,769,Yap_colleagues
315,504,1,CleanProc,771,Yap_colleagues
316,504,1,DegradedProc,774,Yap_colleagues
317,504,1,CleanProc,775,Yap_colleagues
318,504,1,CleanProc,787,Yap_colleagues
319,504,1,CleanProc,790,Yap_colleagues
320,504,1,DegradedProc,794,Yap_colleagues
321,504,1,CleanProc,819,Yap_colleagues
322,504,1,CleanProc,833,Yap_colleagues
323,504,1,DegradedProc,883,Yap_colleagues
324,504,1,DegradedProc,884,Yap_colleagues
325,504,1,DegradedProc,894,Yap_colleagues
326,504,1,CleanProc,895,Yap_colleagues
327,504,1,CleanProc,897,Yap_colleagues
328,504,1,DegradedProc,932,Yap_colleagues
329,504,1,CleanProc,951,Yap_colleagues
330,504,1,DegradedProc,965,Yap_colleagues
331,504,1,DegradedProc,966,Yap_colleagues
332,504,1,DegradedProc,987,Yap_colleagues
333,504,1,DegradedProc,1001,Yap_colleagues
334,504,1,CleanProc,1007,Yap_colleagues
335,504,1,CleanProc,1049,Yap_colleagues
336,504,1,DegradedProc,1071,Yap_colleagues
337,504,1,CleanProc,1074,Yap_colleagues
338,504,1,DegradedProc,1090,Yap_colleagues
339,504,1,CleanProc,1092,Yap_colleagues
340,504,1,DegradedProc,1127,Yap_colleagues
341,504,1,CleanProc,1131,Yap_colleagues
342,504,1,DegradedProc,1147,Yap_colleagues
343,504,1,CleanProc,1163,Yap_colleagues
344,504,1,DegradedProc,1202,Yap_colleagues
345,504,1,DegradedProc,1211,Yap_colleagues
346,504,1,DegradedProc,1220,Yap_colleagues
347,504,1,DegradedProc,1234,Yap_colleagues
348,504,1,DegradedProc,1250,Yap_colleagues
349,504,1,DegradedProc,1272,Yap_colleagues
350,504,1,DegradedProc,1273,Yap_colleagues
351,504,1,DegradedProc,1283,Yap_colleagues
352,504,1,DegradedProc,1299,Yap_colleagues
353,504,1,CleanProc,1396,Yap_colleagues
354,504,1,DegradedProc,1403,Yap_colleagues
355,504,1,DegradedProc,1502,Yap_colleagues
356,504,1,DegradedProc,1554,Yap_colleagues
357,504,1,CleanProc,1636,Yap_colleagues
358,504,1,DegradedProc,1706,Yap_colleagues
359,504,1,DegradedProc,1858,Yap_colleagues
360,504,1,DegradedProc,1871,Yap_colleagues
361,505,1,CleanProc,445,Yap_colleagues
362,505,1,CleanProc,456,Yap_colleagues
363,505,1,DegradedProc,460,Yap_colleagues
364,505,1,DegradedProc,464,Yap_colleagues
365,505,1,CleanProc,473,Yap_colleagues
366,505,1,CleanProc,475,Yap_colleagues
367,505,1,CleanProc,483,Yap_colleagues
368,505,1,CleanProc,483,Yap_colleagues
369,505,1,DegradedProc,485,Yap_colleagues
370,505,1,CleanProc,495,Yap_colleagues
371,505,1,CleanProc,496,Yap_colleagues
372,505,1,CleanProc,496,Yap_colleagues
373,505,1,CleanProc,497,Yap_colleagues
374,505,1,CleanProc,505,Yap_colleagues
375,505,1,DegradedProc,505,Yap_colleagues
376,505,1,CleanProc,510,Yap_colleagues
377,505,1,CleanProc,512,Yap_colleagues
378,505,1,DegradedProc,512,Yap_colleagues
379,505,1,CleanProc,513,Yap_colleagues
380,505,1,CleanProc,519,Yap_colleagues
381,505,1,DegradedProc,523,Yap_colleagues
382,505,1,DegradedProc,523,Yap_colleagues
383,505,1,CleanProc,537,Yap_colleagues
384,505,1,CleanProc,544,Yap_colleagues
385,505,1,CleanProc,550,Yap_colleagues
386,505,1,DegradedProc,556,Yap_colleagues
387,505,1,CleanProc,560,Yap_colleagues
388,505,1,DegradedProc,563,Yap_colleagues
389,505,1,DegradedProc,565,Yap_colleagues
390,505,1,DegradedProc,566,Yap_colleagues
391,505,1,CleanProc,567,Yap_colleagues
392,505,1,CleanProc,571,Yap_colleagues
393,505,1,CleanProc,576,Yap_colleagues
394,505,1,CleanProc,579,Yap_colleagues
395,505,1,CleanProc,580,Yap_colleagues
396,505,1,CleanProc,584,Yap_colleagues
397,505,1,DegradedProc,586,Yap_colleagues
398,505,1,CleanProc,593,Yap_colleagues
399,505,1,CleanProc,594,Yap_colleagues
400,505,1,CleanProc,597,Yap_colleagues
401,505,1,CleanProc,601,Yap_colleagues
402,505,1,CleanProc,601,Yap_colleagues
403,505,1,DegradedProc,603,Yap_colleagues
404,505,1,CleanProc,607,Yap_colleagues
405,505,1,CleanProc,613,Yap_colleagues
406,505,1,CleanProc,620,Yap_colleagues
407,505,1,CleanProc,622,Yap_colleagues
408,505,1,CleanProc,631,Yap_colleagues
409,505,1,CleanProc,631,Yap_colleagues
410,505,1,DegradedProc,634,Yap_colleagues
411,505,1,CleanProc,638,Yap_colleagues
412,505,1,DegradedProc,638,Yap_colleagues
413,505,1,DegradedProc,640,Yap_colleagues
414,505,1,CleanProc,642,Yap_colleagues
415,505,1,DegradedProc,651,Yap_colleagues
416,505,1,CleanProc,654,Yap_colleagues
417,505,1,DegradedProc,656,Yap_colleagues
418,505,1,CleanProc,660,Yap_colleagues
419,505,1,CleanProc,668,Yap_colleagues
420,505,1,DegradedProc,668,Yap_colleagues
421,505,1,CleanProc,671,Yap_colleagues
422,505,1,DegradedProc,689,Yap_colleagues
423,505,1,DegradedProc,693,Yap_colleagues
424,505,1,DegradedProc,695,Yap_colleagues
425,505,1,CleanProc,707,Yap_colleagues
426,505,1,CleanProc,712,Yap_colleagues
